fill	x	key	showSelectedlegendfill	group
#000000	4.88909297855571	4.88909297855571	subtrain	1
#000000	-1.02254546713084	-1.02254546713084	subtrain	2
#000000	-3.84302221238613	-3.84302221238613	subtrain	3
#000000	-4.30251321289688	-4.30251321289688	subtrain	4
#000000	-2.56250609410927	-2.56250609410927	subtrain	5
#000000	2.92010425822809	2.92010425822809	subtrain	6
#000000	-1.59937647171319	-1.59937647171319	subtrain	7
#000000	4.72062500659376	4.72062500659376	subtrain	8
#000000	-3.34144515451044	-3.34144515451044	subtrain	9
#000000	-0.408963342197239	-0.408963342197239	subtrain	10
#FF0000	-3.28251923201606	-3.28251923201606	validation	11
#FF0000	-2.68522898200899	-2.68522898200899	validation	12
#FF0000	2.72811945760623	2.72811945760623	validation	13
#FF0000	-4.03698458336294	-4.03698458336294	validation	14
#FF0000	-0.46552229905501	-0.46552229905501	validation	15
#FF0000	-4.15299287065864	-4.15299287065864	validation	16
#FF0000	0.606658670585603	0.606658670585603	validation	17
#FF0000	-4.91295400075614	-4.91295400075614	validation	18
#FF0000	4.85737090697512	4.85737090697512	validation	19
#FF0000	-1.83415195904672	-1.83415195904672	validation	20
#FF0000	1.3944894191809	1.3944894191809	validation	21
#FF0000	-2.04776764614508	-2.04776764614508	validation	22
#FF0000	4.96703693876043	4.96703693876043	validation	23
#FF0000	4.06021320261061	4.06021320261061	validation	24
#FF0000	4.88739144057035	4.88739144057035	validation	25
#FF0000	-4.3435426056385	-4.3435426056385	validation	26
#FF0000	1.27038758480921	1.27038758480921	validation	27
#FF0000	-0.0952495913952589	-0.0952495913952589	validation	28
#FF0000	4.71024412894621	4.71024412894621	validation	29
#FF0000	-1.37779152486473	-1.37779152486473	validation	30
#FF0000	1.79993461119011	1.79993461119011	validation	31
#FF0000	-2.36280069686472	-2.36280069686472	validation	32
#FF0000	-3.14285738626495	-3.14285738626495	validation	33
#FF0000	-3.14856778364629	-3.14856778364629	validation	34
#FF0000	-1.20703253429383	-1.20703253429383	validation	35
#FF0000	3.47024392103776	3.47024392103776	validation	36
#FF0000	-0.0192386656999588	-0.0192386656999588	validation	37
#FF0000	2.90585573529825	2.90585573529825	validation	38
#FF0000	3.38463871972635	3.38463871972635	validation	39
#FF0000	-0.430961351376027	-0.430961351376027	validation	40
#FF0000	2.994758146815	2.994758146815	validation	41
#FF0000	-1.18056938750669	-1.18056938750669	validation	42
#FF0000	2.59701231494546	2.59701231494546	validation	43
#FF0000	-0.632243978325278	-0.632243978325278	validation	44
#FF0000	4.0421772073023	4.0421772073023	validation	45
#FF0000	-1.80465086130425	-1.80465086130425	validation	46
#FF0000	-4.17430907255039	-4.17430907255039	validation	47
#FF0000	3.16289079375565	3.16289079375565	validation	48
#FF0000	3.98476220667362	3.98476220667362	validation	49
#FF0000	4.66496397741139	4.66496397741139	validation	50
#FF0000	0.730688830371946	0.730688830371946	validation	51
#FF0000	2.20079496502876	2.20079496502876	validation	52
#FF0000	2.74058624170721	2.74058624170721	validation	53
#FF0000	1.27760800532997	1.27760800532997	validation	54
#FF0000	2.22989341476932	2.22989341476932	validation	55
#FF0000	-1.13168721087277	-1.13168721087277	validation	56
#FF0000	-3.37209222139791	-3.37209222139791	validation	57
#FF0000	-3.12771716620773	-3.12771716620773	validation	58
#FF0000	-1.08750525861979	-1.08750525861979	validation	59
#FF0000	-2.26098790299147	-2.26098790299147	validation	60
#FF0000	-3.08082251809537	-3.08082251809537	validation	61
#FF0000	0.0439180643297732	0.0439180643297732	validation	62
#FF0000	2.63840356841683	2.63840356841683	validation	63
#FF0000	1.93668870721012	1.93668870721012	validation	64
#FF0000	0.440541882999241	0.440541882999241	validation	65
#FF0000	1.59087226260453	1.59087226260453	validation	66
#FF0000	-0.312716199550778	-0.312716199550778	validation	67
#FF0000	-0.181944610085338	-0.181944610085338	validation	68
#FF0000	-1.62936401553452	-1.62936401553452	validation	69
#FF0000	-0.754736983217299	-0.754736983217299	validation	70
#FF0000	-2.12984869023785	-2.12984869023785	validation	71
#FF0000	1.0119153209962	1.0119153209962	validation	72
#FF0000	3.40742326341569	3.40742326341569	validation	73
#FF0000	1.20837047696114	1.20837047696114	validation	74
#FF0000	-3.65448380820453	-3.65448380820453	validation	75
#FF0000	0.677224295213819	0.677224295213819	validation	76
#FF0000	-0.565736689604819	-0.565736689604819	validation	77
#FF0000	-0.620245772879571	-0.620245772879571	validation	78
#FF0000	1.23617232544348	1.23617232544348	validation	79
#FF0000	4.32653341908008	4.32653341908008	validation	80
#FF0000	3.88492583297193	3.88492583297193	validation	81
#FF0000	3.78540561068803	3.78540561068803	validation	82
#FF0000	-2.57823052350432	-2.57823052350432	validation	83
#FF0000	2.41453797090799	2.41453797090799	validation	84
#FF0000	-1.12343686632812	-1.12343686632812	validation	85
#FF0000	-4.21048261225224	-4.21048261225224	validation	86
#FF0000	-4.05164449941367	-4.05164449941367	validation	87
#FF0000	2.62142731109634	2.62142731109634	validation	88
#FF0000	-1.52105974266306	-1.52105974266306	validation	89
#FF0000	-0.832332910504192	-0.832332910504192	validation	90
#FF0000	-1.55983769334853	-1.55983769334853	validation	91
#FF0000	-4.91589077282697	-4.91589077282697	validation	92
#FF0000	4.11574990721419	4.11574990721419	validation	93
#FF0000	-3.17794581409544	-3.17794581409544	validation	94
#FF0000	2.22803449025378	2.22803449025378	validation	95
